"VarCategory"	"GOBPID"	"Term"	"MeanPvalue"	"NConditions"	"EnrichmentTest"	"TestDirection"
"LV"	"GO:0007411"	"axon guidance"	0.0040264840817097	1	"GOStats"	"enrichment"
"LV"	"GO:0007420"	"brain development"	0.00498922844084086	1	"GOStats"	"enrichment"
"LV"	"GO:0007601"	"visual perception"	0.00469510977055668	3	"GOStats"	"enrichment"
"LV"	"GO:0008033"	"tRNA processing"	0.00672638659100373	2	"GOStats"	"enrichment"
"LV"	"GO:0008090"	"retrograde axonal transport"	0.00555749094901673	1	"GOStats"	"enrichment"
"LV"	"GO:0008104"	"protein localization"	0.00364082102331395	4	"GOStats"	"enrichment"
"LV"	"GO:0008608"	"attachment of spindle microtubules to kinetochore"	0.00436042408969605	2	"GOStats"	"enrichment"
"LV"	"GO:0009057"	"macromolecule catabolic process"	0.00323774448974343	4	"GOStats"	"enrichment"
"LV"	"GO:0009059"	"macromolecule biosynthetic process"	0.00217243756457093	1	"GOStats"	"enrichment"
"LV"	"GO:0009060"	"aerobic respiration"	0.00145759219029726	1	"GOStats"	"enrichment"
"LV"	"GO:0009083"	"branched-chain amino acid catabolic process"	0.00567346769665834	1	"GOStats"	"enrichment"
"LV"	"GO:0009100"	"glycoprotein metabolic process"	0.00345896288808598	1	"GOStats"	"enrichment"
"LV"	"GO:0009101"	"glycoprotein biosynthetic process"	0.00524743494674976	2	"GOStats"	"enrichment"
"LV"	"GO:0009138"	"pyrimidine nucleoside diphosphate metabolic process"	0.00700637109723575	1	"GOStats"	"enrichment"
"LV"	"GO:0009416"	"response to light stimulus"	0.0043807080465558	1	"GOStats"	"enrichment"
"LV"	"GO:0009653"	"anatomical structure morphogenesis"	0.00644138906315374	2	"GOStats"	"enrichment"
"LV"	"GO:0009987"	"cellular process"	0.00335384112881125	3	"GOStats"	"enrichment"
"LV"	"GO:0010165"	"response to X-ray"	0.00834389526171659	1	"GOStats"	"enrichment"
"LV"	"GO:0010212"	"response to ionizing radiation"	0.00400890713546071	1	"GOStats"	"enrichment"
"LV"	"GO:0010269"	"response to selenium ion"	0.00692435155333884	1	"GOStats"	"enrichment"
"LV"	"GO:0010467"	"gene expression"	0.000245116461849917	2	"GOStats"	"enrichment"
"LV"	"GO:0010468"	"regulation of gene expression"	0.00213572143853385	1	"GOStats"	"enrichment"
"LV"	"GO:0010498"	"proteasomal protein catabolic process"	0.00389141821618262	3	"GOStats"	"enrichment"
"LV"	"GO:0010499"	"proteasomal ubiquitin-independent protein catabolic process"	0.00458401626593061	2	"GOStats"	"enrichment"
"LV"	"GO:0010556"	"regulation of macromolecule biosynthetic process"	0.00581163712498536	1	"GOStats"	"enrichment"
"LV"	"GO:0010559"	"regulation of glycoprotein biosynthetic process"	0.00273896510021417	2	"GOStats"	"enrichment"
"LV"	"GO:0010564"	"regulation of cell cycle process"	0.00506966566612918	1	"GOStats"	"enrichment"
"LV"	"GO:0010595"	"positive regulation of endothelial cell migration"	0.00923990657648336	1	"GOStats"	"enrichment"
"LV"	"GO:0010629"	"negative regulation of gene expression"	0.00177273713891667	1	"GOStats"	"enrichment"
"LV"	"GO:0010632"	"regulation of epithelial cell migration"	0.00598618025613719	1	"GOStats"	"enrichment"
"LV"	"GO:0010821"	"regulation of mitochondrion organization"	0.00737943512764687	1	"GOStats"	"enrichment"
"LV"	"GO:0010842"	"retina layer formation"	0.00145759219029726	1	"GOStats"	"enrichment"
"LV"	"GO:0010970"	"transport along microtubule"	0.00873320314160026	1	"GOStats"	"enrichment"
"LV"	"GO:0012501"	"programmed cell death"	0.00524522956714425	1	"GOStats"	"enrichment"
"LV"	"GO:0014003"	"oligodendrocyte development"	0.00101283502278671	1	"GOStats"	"enrichment"
"LV"	"GO:0014013"	"regulation of gliogenesis"	0.00380418739794115	1	"GOStats"	"enrichment"
"LV"	"GO:0015031"	"protein transport"	0.00330298569370606	3	"GOStats"	"enrichment"
"LV"	"GO:0015833"	"peptide transport"	0.00207370953962782	6	"GOStats"	"enrichment"
"LV"	"GO:0015919"	"peroxisomal membrane transport"	0.00182417304676722	1	"GOStats"	"enrichment"
"LV"	"GO:0016043"	"cellular component organization"	0.00317836739035422	1	"GOStats"	"enrichment"
"LV"	"GO:0016049"	"cell growth"	0.0054652479551503	1	"GOStats"	"enrichment"
"LV"	"GO:0016050"	"vesicle organization"	0.00441386136771341	1	"GOStats"	"enrichment"
"LV"	"GO:0016070"	"RNA metabolic process"	0.00177771367827861	1	"GOStats"	"enrichment"
"LV"	"GO:0016071"	"mRNA metabolic process"	0.000576925143843766	6	"GOStats"	"enrichment"
"LV"	"GO:0016072"	"rRNA metabolic process"	0.00634271259179073	2	"GOStats"	"enrichment"
"LV"	"GO:0016079"	"synaptic vesicle exocytosis"	0.00279631239391769	1	"GOStats"	"enrichment"
"LV"	"GO:0016192"	"vesicle-mediated transport"	0.00274129207617714	7	"GOStats"	"enrichment"
"LV"	"GO:0016197"	"endosomal transport"	0.00268002430340279	6	"GOStats"	"enrichment"
"LV"	"GO:0016226"	"iron-sulfur cluster assembly"	0.00781435491341389	1	"GOStats"	"enrichment"
"LV"	"GO:0016241"	"regulation of macroautophagy"	0.00542008130291149	1	"GOStats"	"enrichment"
"LV"	"GO:0016246"	"RNA interference"	0.00896723933932578	1	"GOStats"	"enrichment"
"LV"	"GO:0016267"	"O-glycan processing, core 1"	0.00700616428066666	1	"GOStats"	"enrichment"
"LV"	"GO:0016311"	"dephosphorylation"	0.00952340737710159	1	"GOStats"	"enrichment"
"LV"	"GO:0016482"	"cytosolic transport"	0.00589924851864318	3	"GOStats"	"enrichment"
"LV"	"GO:0016556"	"mRNA modification"	0.00955889931488978	1	"GOStats"	"enrichment"
"LV"	"GO:0016567"	"protein ubiquitination"	0.00463218045908372	3	"GOStats"	"enrichment"
"LV"	"GO:0016570"	"histone modification"	0.000396918606278501	1	"GOStats"	"enrichment"
"LV"	"GO:0016579"	"protein deubiquitination"	0.00450354944274142	2	"GOStats"	"enrichment"
"LV"	"GO:0016601"	"Rac protein signal transduction"	0.00232050494589103	1	"GOStats"	"enrichment"
"LV"	"GO:0016925"	"protein sumoylation"	0.00206696415494695	1	"GOStats"	"enrichment"
"LV"	"GO:0017158"	"regulation of calcium ion-dependent exocytosis"	0.00106151934279648	1	"GOStats"	"enrichment"
"LV"	"GO:0017196"	"N-terminal peptidyl-methionine acetylation"	0.000294822155355186	1	"GOStats"	"enrichment"
"LV"	"GO:0018008"	"N-terminal peptidyl-glycine N-myristoylation"	0.00722053166609306	1	"GOStats"	"enrichment"
"LV"	"GO:0018027"	"peptidyl-lysine dimethylation"	0.00854716890243552	1	"GOStats"	"enrichment"
"LV"	"GO:0018130"	"heterocycle biosynthetic process"	0.0076652085318013	1	"GOStats"	"enrichment"
"LV"	"GO:0018193"	"peptidyl-amino acid modification"	0.00284575199075023	1	"GOStats"	"enrichment"
"LV"	"GO:0018205"	"peptidyl-lysine modification"	0.00514248167387558	4	"GOStats"	"enrichment"
"LV"	"GO:0018377"	"protein myristoylation"	0.00722053166609306	1	"GOStats"	"enrichment"
"LV"	"GO:0019058"	"viral life cycle"	0.00738544299258829	1	"GOStats"	"enrichment"
"LV"	"GO:0019219"	"regulation of nucleobase-containing compound metabolic process"	0.00539938034806202	1	"GOStats"	"enrichment"
"LV"	"GO:0019427"	"acetyl-CoA biosynthetic process from acetate"	0.00720901129383275	1	"GOStats"	"enrichment"
"LV"	"GO:0019438"	"aromatic compound biosynthetic process"	0.00988667358179886	1	"GOStats"	"enrichment"
"LV"	"GO:0019538"	"protein metabolic process"	0.0023549916446993	5	"GOStats"	"enrichment"
