Gene name	Gene stable ID	Gene type
fzd8a	ENSLOCG00000000457	protein_coding
dhrs1	ENSLOCG00000000458	protein_coding
	ENSLOCG00000000459	protein_coding
	ENSLOCG00000000460	protein_coding
	ENSLOCG00000000461	protein_coding
	ENSLOCG00000000462	protein_coding
si:ch73-12o23.1	ENSLOCG00000000463	protein_coding
	ENSLOCG00000000464	protein_coding
usb1	ENSLOCG00000000465	protein_coding
klhl14	ENSLOCG00000000466	protein_coding
sass6	ENSLOCG00000000467	protein_coding
zgc:92275	ENSLOCG00000000468	protein_coding
tekt2	ENSLOCG00000000469	protein_coding
ZDHHC18	ENSLOCG00000000470	protein_coding
	ENSLOCG00000000471	protein_coding
	ENSLOCG00000000472	protein_coding
	ENSLOCG00000000473	protein_coding
ago1	ENSLOCG00000000474	protein_coding
	ENSLOCG00000000475	protein_coding
	ENSLOCG00000000476	protein_coding
	ENSLOCG00000000477	protein_coding
	ENSLOCG00000000478	protein_coding
	ENSLOCG00000000479	protein_coding
	ENSLOCG00000000480	protein_coding
	ENSLOCG00000000481	protein_coding
ypel5	ENSLOCG00000000482	protein_coding
	ENSLOCG00000000483	protein_coding
	ENSLOCG00000000484	protein_coding
crlf1b	ENSLOCG00000000485	protein_coding
wwox	ENSLOCG00000000486	protein_coding
	ENSLOCG00000000487	protein_coding
	ENSLOCG00000000488	protein_coding
	ENSLOCG00000000489	protein_coding
	ENSLOCG00000000490	protein_coding
	ENSLOCG00000000491	protein_coding
	ENSLOCG00000000492	protein_coding
phrf1	ENSLOCG00000000493	protein_coding
	ENSLOCG00000000494	protein_coding
fance	ENSLOCG00000000495	protein_coding
	ENSLOCG00000000496	protein_coding
	ENSLOCG00000000497	protein_coding
	ENSLOCG00000000498	protein_coding
dhrs4	ENSLOCG00000000499	protein_coding
	ENSLOCG00000000500	protein_coding
	ENSLOCG00000000501	protein_coding
GJD4	ENSLOCG00000000502	protein_coding
enpp2	ENSLOCG00000000503	protein_coding
ago1	ENSLOCG00000000504	protein_coding
