Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000006189	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0
ENSELUG00000006190	0	0	6	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ENSELUG00000006191	0	25	30	26	0	0	3	28	0	0	0	0	13	0	29	16	19	0	16	5	56	0	0	0	0	0	0	0	22	16	0	0	1	0	45	0	3	8	1	0	4	23	0	0	0	0	0	0	0	45	20	4	0	0	0	52	14	0	0	0	21	15	35	2	12	0	0	0	6	24	1	0	42	0	3	0	0	0	0	27	37	21	25	0	0	0	0	0	19	6	0	0	1	40	0	7
ENSELUG00000006193	0	31	19	44	0	0	2	46	0	0	0	0	13	0	30	13	19	0	10	15	34	0	0	0	0	0	0	0	11	12	0	0	0	0	35	1	2	23	2	0	14	57	0	1	0	0	0	0	0	101	19	3	0	2	0	68	21	0	0	0	18	12	18	3	15	0	0	0	11	14	0	0	94	0	9	0	0	0	0	32	16	28	13	0	0	0	1	0	10	7	0	0	3	62	0	2
ENSELUG00000006194	0	0	58	2	0	0	0	0	0	0	0	0	1	0	1	1	54	0	2	1	1	0	0	0	0	0	0	0	6	1	0	0	0	0	2	0	5	5	0	0	2	1	0	0	0	0	0	0	0	3	80	0	0	0	0	94	1	0	0	0	31	15	2	0	45	0	0	0	8	10	0	0	3	0	4	0	0	0	0	54	0	1	38	0	0	0	0	0	2	0	0	0	0	1	0	0
ENSELUG00000006195	0	208	278	85	0	0	5	42	0	0	0	0	47	6	91	14	29	0	30	46	212	0	0	2	3	3	1	1	23	47	2	0	0	0	29	1	13	79	3	2	50	33	0	0	1	0	0	1	2	71	125	27	0	8	7	702	7	0	0	2	238	27	318	21	11	0	2	0	62	55	0	0	131	0	54	0	0	0	0	101	7	78	9	2	0	0	1	0	116	16	2	0	2	355	0	22
ENSELUG00000006197	0	8	33	71	0	0	2	40	0	0	0	0	17	1	29	6	19	0	12	15	26	0	0	0	0	1	0	0	12	30	0	0	0	0	83	0	5	34	0	2	14	38	0	0	0	0	0	0	0	81	47	5	0	3	0	70	55	0	0	0	21	14	12	4	7	0	1	0	17	36	0	0	81	0	7	0	0	0	0	33	53	37	13	1	0	0	0	0	20	2	1	0	1	120	0	13
ENSELUG00000006198	0	124	176	220	0	0	6	227	0	0	0	0	213	11	144	161	88	0	54	61	223	0	0	1	0	4	0	0	84	216	1	0	1	0	358	4	34	136	5	10	63	72	0	0	0	0	0	0	0	420	106	33	0	12	2	401	149	0	0	1	122	45	160	9	7	0	0	0	94	106	0	0	398	0	74	0	0	0	0	205	242	85	101	1	0	0	0	0	122	113	0	0	6	341	0	93
ENSELUG00000006199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006200	0	13	78	197	0	1	2	35	0	0	0	0	18	5	20	26	18	0	6	87	13	0	0	0	0	1	0	0	21	35	0	0	0	0	32	0	2	17	0	1	58	3	0	0	2	0	0	0	0	66	6	20	0	1	1	89	22	0	0	1	66	5	57	2	2	0	0	0	19	17	0	0	73	0	4	0	0	0	0	176	33	93	9	1	0	0	0	0	8	11	1	0	3	299	0	260
ENSELUG00000006201	0	0	0	3	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
ENSELUG00000006202	0	0	0	0	0	0	0	13	0	0	0	0	29	0	46	7	0	0	11	0	1	0	0	0	0	0	0	0	2	23	0	0	0	0	1	2	1	100	0	0	1	2	0	0	0	0	0	0	0	11	5	0	0	0	0	2	1	0	0	0	0	1	1	2	0	0	0	0	4	39	0	0	24	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	2	0	0
ENSELUG00000006203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006204	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	1	0	0	0	0	7	0	0
ENSELUG00000006205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSELUG00000006206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
